Timestamp,EPC,Antenna,RSSI,Channel,Address
1560932050741817,E2000019510802051320B90E,1,-65,866.9,SpeedwayR-12-CB-07.local
1560932050779805,E2000019510802011320B0CC,2,-69,866.9,SpeedwayR-12-CB-07.local
1560932050801590,E2000019510802091320B910,2,-74.5,866.9,SpeedwayR-12-CB-07.local
1560932050824962,E2000019510802091320B910,3,-70,866.9,SpeedwayR-12-CB-07.local
1560932050856440,E2000019510802011320B0CC,4,-64.5,866.9,SpeedwayR-12-CB-07.local
1560932050859982,E2000019510802091320B910,4,-67.5,866.9,SpeedwayR-12-CB-07.local
1560932050885648,E2000019510802051320B90E,1,-64.5,866.9,SpeedwayR-12-CB-07.local
1560932050920277,E2000019510802011320B0CC,2,-70.5,866.9,SpeedwayR-12-CB-07.local
1560932050953670,E2000019510802091320B910,3,-70,866.9,SpeedwayR-12-CB-07.local
1560932050978423,E2000019510802091320B910,4,-68.5,866.9,SpeedwayR-12-CB-07.local
1560932050983170,E2000019510802011320B0CC,4,-64.5,866.9,SpeedwayR-12-CB-07.local
1560932051014459,E2000019510802051320B90E,1,-64.5,866.9,SpeedwayR-12-CB-07.local
1560932051048940,E2000019510802011320B0CC,2,-70.5,866.9,SpeedwayR-12-CB-07.local
1560932051078741,E2000019510802091320B910,3,-71,866.9,SpeedwayR-12-CB-07.local
1560932051113991,E2000019510802011320B0CC,4,-65,866.9,SpeedwayR-12-CB-07.local
1560932051115915,E2000019510802091320B910,4,-68,866.9,SpeedwayR-12-CB-07.local
1560932051141721,E2000019510802051320B90E,1,-65,866.9,SpeedwayR-12-CB-07.local
1560932051176319,E2000019510802011320B0CC,2,-69,866.9,SpeedwayR-12-CB-07.local
1560932051207023,E2000019510802091320B910,3,-70.5,866.9,SpeedwayR-12-CB-07.local
1560932051234927,E2000019510802011320B0CC,4,-64.5,866.9,SpeedwayR-12-CB-07.local
1560932051236354,E2000019510802091320B910,4,-68.5,866.9,SpeedwayR-12-CB-07.local
1560932051259311,E2000019510802051320B90E,1,-65,866.9,SpeedwayR-12-CB-07.local
1560932051296782,E2000019510802011320B0CC,2,-69,866.9,SpeedwayR-12-CB-07.local
1560932051328703,E2000019510802091320B910,3,-71,866.9,SpeedwayR-12-CB-07.local
1560932051359941,E2000019510802011320B0CC,4,-64.5,866.9,SpeedwayR-12-CB-07.local
1560932051361225,E2000019510802091320B910,4,-68.5,866.9,SpeedwayR-12-CB-07.local
1560932051397813,E2000019510802051320B90E,1,-64.5,866.9,SpeedwayR-12-CB-07.local
1560932051431636,E2000019510802011320B0CC,2,-69,866.9,SpeedwayR-12-CB-07.local
1560932051462821,E2000019510802091320B910,3,-70.5,866.9,SpeedwayR-12-CB-07.local
1560932051489983,E2000019510802011320B0CC,4,-64,866.9,SpeedwayR-12-CB-07.local
1560932051492118,E2000019510802091320B910,4,-68,866.9,SpeedwayR-12-CB-07.local
