Timestamp,EPC,Antenna,RSSI,Channel,Address
1560957841661799,E20000195108006813202666,1,-71,866.3,SpeedwayR-12-CB-07.local
1560957841668511,E2000019510802091320B910,1,-64.5,866.3,SpeedwayR-12-CB-07.local
1560957841692872,E2000019510802091320B910,2,-68,866.3,SpeedwayR-12-CB-07.local
1560957841699308,E200001951080047132014DB,2,-64.5,866.3,SpeedwayR-12-CB-07.local
1560957841713083,E2000019510802051320B90E,2,-73.5,866.3,SpeedwayR-12-CB-07.local
1560957841724398,E20000195108006813202666,2,-71,866.3,SpeedwayR-12-CB-07.local
1560957841774592,E20000195108007213202668,4,-64.5,866.3,SpeedwayR-12-CB-07.local
1560957841778607,E200001951080047132014DB,4,-62.5,866.3,SpeedwayR-12-CB-07.local
1560957841779945,E20000195108005113201B41,4,-66.5,866.3,SpeedwayR-12-CB-07.local
1560957841808950,E2000019510802091320B910,1,-65,866.3,SpeedwayR-12-CB-07.local
1560957841843381,E20000195108006813202666,2,-67,866.3,SpeedwayR-12-CB-07.local
1560957841845046,E200001951080047132014DB,2,-63,866.3,SpeedwayR-12-CB-07.local
1560957841846104,E2000019510802051320B90E,2,-71.5,866.3,SpeedwayR-12-CB-07.local
1560957841848910,E2000019510802091320B910,2,-68,866.3,SpeedwayR-12-CB-07.local
1560957841889637,E200001951080047132014DB,4,-64,866.3,SpeedwayR-12-CB-07.local
1560957841891142,E20000195108007213202668,4,-66,866.3,SpeedwayR-12-CB-07.local
1560957841922760,E2000019510802091320B910,1,-63.5,866.3,SpeedwayR-12-CB-07.local
1560957841925697,E2000019510802051320B90E,1,-69.5,866.3,SpeedwayR-12-CB-07.local
1560957841954183,E2000019510802051320B90E,2,-71,866.3,SpeedwayR-12-CB-07.local
1560957841959207,E20000195108006813202666,2,-66.5,866.3,SpeedwayR-12-CB-07.local
1560957841960533,E2000019510802091320B910,2,-65.5,866.3,SpeedwayR-12-CB-07.local
1560957842001282,E20000195108007213202668,4,-67.5,866.3,SpeedwayR-12-CB-07.local
1560957842002333,E200001951080047132014DB,4,-64.5,866.3,SpeedwayR-12-CB-07.local
1560957842036016,E2000019510802091320B910,1,-65,866.3,SpeedwayR-12-CB-07.local
1560957842050177,E20000195108006813202666,1,-71,866.3,SpeedwayR-12-CB-07.local
1560957842079595,E200001951080047132014DB,2,-62.5,866.3,SpeedwayR-12-CB-07.local
1560957842082924,E20000195108006813202666,2,-66,866.3,SpeedwayR-12-CB-07.local
1560957842083992,E2000019510802091320B910,2,-63,866.3,SpeedwayR-12-CB-07.local
1560957842085098,E2000019510802051320B90E,2,-69,866.3,SpeedwayR-12-CB-07.local
1560957842128547,E200001951080047132014DB,4,-62.5,866.3,SpeedwayR-12-CB-07.local
1560957842159907,E20000195108006813202666,1,-65.5,866.3,SpeedwayR-12-CB-07.local
1560957842196298,E20000195108006813202666,2,-64.5,866.3,SpeedwayR-12-CB-07.local
1560957842197635,E200001951080047132014DB,2,-63.5,866.3,SpeedwayR-12-CB-07.local
1560957842199191,E2000019510802051320B90E,2,-66.5,866.3,SpeedwayR-12-CB-07.local
1560957842200500,E2000019510802091320B910,2,-62.5,866.3,SpeedwayR-12-CB-07.local
1560957842233787,E2000019510802011320B0CC,3,-69.5,866.3,SpeedwayR-12-CB-07.local
1560957842267299,E200001951080047132014DB,4,-59.5,866.3,SpeedwayR-12-CB-07.local
1560957842291528,E2000019510802051320B90E,4,-76.5,866.3,SpeedwayR-12-CB-07.local
1560957842333250,E2000019510802051320B90E,1,-75,866.3,SpeedwayR-12-CB-07.local
1560957842344944,E20000195108006813202666,1,-73.5,866.3,SpeedwayR-12-CB-07.local
1560957842364340,E2000019510802051320B90E,2,-66,866.3,SpeedwayR-12-CB-07.local
1560957842367495,E20000195108006813202666,2,-64,866.3,SpeedwayR-12-CB-07.local
1560957842368837,E2000019510802091320B910,2,-65,866.3,SpeedwayR-12-CB-07.local
1560957842404660,E2000019510802011320B0CC,3,-68,866.3,SpeedwayR-12-CB-07.local
1560957842437221,E200001951080047132014DB,4,-61,866.3,SpeedwayR-12-CB-07.local
1560957842472159,E2000019510802051320B90E,2,-67.5,866.3,SpeedwayR-12-CB-07.local
1560957842474322,E20000195108006813202666,2,-65,866.3,SpeedwayR-12-CB-07.local
1560957842476363,E2000019510802091320B910,2,-69.5,866.3,SpeedwayR-12-CB-07.local
1560957842538165,E200001951080047132014DB,4,-61,866.3,SpeedwayR-12-CB-07.local
1560957842606345,E2000019510802051320B90E,2,-67,866.3,SpeedwayR-12-CB-07.local
1560957842609280,E20000195108006813202666,2,-67,866.3,SpeedwayR-12-CB-07.local
1560957842653261,E200001951080047132014DB,4,-63,866.3,SpeedwayR-12-CB-07.local
1560957842673084,E2000019510802011320B0CC,4,-72,866.3,SpeedwayR-12-CB-07.local
1560957842705977,E2000019510802051320B90E,2,-67,866.3,SpeedwayR-12-CB-07.local
1560957842725549,E20000195108006813202666,2,-72.5,866.3,SpeedwayR-12-CB-07.local
1560957842779593,E200001951080047132014DB,4,-68.5,866.3,SpeedwayR-12-CB-07.local
1560957842784248,E20000195108007213202668,4,-66,866.3,SpeedwayR-12-CB-07.local
1560957842831256,E2000019510802091320B910,1,-72,866.3,SpeedwayR-12-CB-07.local
1560957842853238,E2000019510802051320B90E,2,-65.5,866.3,SpeedwayR-12-CB-07.local
1560957842856641,E20000195108006813202666,2,-71.5,866.3,SpeedwayR-12-CB-07.local
1560957842894654,E200001951080047132014DB,4,-64,866.3,SpeedwayR-12-CB-07.local
1560957842896459,E20000195108007213202668,4,-67,866.3,SpeedwayR-12-CB-07.local
1560957842928474,E2000019510802091320B910,1,-67.5,866.3,SpeedwayR-12-CB-07.local
1560957842961382,E2000019510802051320B90E,2,-66.5,866.3,SpeedwayR-12-CB-07.local
1560957842964307,E20000195108006813202666,2,-69,866.3,SpeedwayR-12-CB-07.local
1560957842966979,E200001951080047132014DB,2,-64.5,866.3,SpeedwayR-12-CB-07.local
1560957843007825,E20000195108007213202668,4,-65.5,866.3,SpeedwayR-12-CB-07.local
1560957843031116,E2000019510802091320B910,1,-67.5,866.3,SpeedwayR-12-CB-07.local
1560957843032429,E20000195108006813202666,1,-67.5,866.3,SpeedwayR-12-CB-07.local
1560957843066430,E2000019510802051320B90E,2,-71,866.3,SpeedwayR-12-CB-07.local
1560957843067524,E200001951080047132014DB,2,-62.5,866.3,SpeedwayR-12-CB-07.local
1560957843079893,E20000195108006813202666,2,-71,866.3,SpeedwayR-12-CB-07.local
1560957843145039,E20000195108007213202668,4,-64,866.3,SpeedwayR-12-CB-07.local
1560957843146348,E200001951080047132014DB,4,-66.5,866.3,SpeedwayR-12-CB-07.local
1560957843179140,E20000195108006813202666,1,-69.5,866.3,SpeedwayR-12-CB-07.local
1560957843213106,E2000019510802051320B90E,2,-66,866.3,SpeedwayR-12-CB-07.local
1560957843214201,E200001951080047132014DB,2,-66.5,866.3,SpeedwayR-12-CB-07.local
1560957843215544,E20000195108006813202666,2,-67.5,866.3,SpeedwayR-12-CB-07.local
1560957843256222,E20000195108007213202668,4,-63,866.3,SpeedwayR-12-CB-07.local
1560957843258913,E2000019510802091320B910,4,-68,866.3,SpeedwayR-12-CB-07.local
1560957843291279,E2000019510802051320B90E,2,-65.5,866.3,SpeedwayR-12-CB-07.local
1560957843292366,E20000195108006813202666,2,-67,866.3,SpeedwayR-12-CB-07.local
1560957843295549,E200001951080047132014DB,2,-64.5,866.3,SpeedwayR-12-CB-07.local
1560957843327691,E2000019510802091320B910,3,-68.5,866.3,SpeedwayR-12-CB-07.local
1560957843360863,E20000195108007213202668,4,-65,866.3,SpeedwayR-12-CB-07.local
1560957843362487,E2000019510802091320B910,4,-65,866.3,SpeedwayR-12-CB-07.local
1560957843363937,E200001951080047132014DB,4,-64.5,866.3,SpeedwayR-12-CB-07.local
1560957843444329,E2000019510802051320B90E,2,-69,866.3,SpeedwayR-12-CB-07.local
1560957843456011,E200001951080047132014DB,2,-65.5,866.3,SpeedwayR-12-CB-07.local
1560957843468829,E20000195108006813202666,2,-72,866.3,SpeedwayR-12-CB-07.local
1560957843487416,E2000019510802091320B910,4,-68,866.3,SpeedwayR-12-CB-07.local
1560957843492360,E20000195108007213202668,4,-66.5,866.3,SpeedwayR-12-CB-07.local
1560957843524908,E200001951080047132014DB,1,-67,866.3,SpeedwayR-12-CB-07.local
1560957843558115,E2000019510802051320B90E,2,-72.5,866.3,SpeedwayR-12-CB-07.local
1560957843573023,E20000195108006813202666,2,-75,866.3,SpeedwayR-12-CB-07.local
1560957843627676,E200001951080047132014DB,4,-63.5,866.3,SpeedwayR-12-CB-07.local
1560957843661057,E200001951080047132014DB,1,-63,866.3,SpeedwayR-12-CB-07.local
1560957843751514,E200001951080047132014DB,4,-67,866.3,SpeedwayR-12-CB-07.local
1560957843755377,E2000019510802091320B910,4,-69.5,866.3,SpeedwayR-12-CB-07.local
1560957843777173,E20000195108007213202668,4,-69,866.3,SpeedwayR-12-CB-07.local
1560957843801217,E20000195108006813202666,1,-71,866.3,SpeedwayR-12-CB-07.local
1560957843802296,E200001951080047132014DB,1,-61,866.3,SpeedwayR-12-CB-07.local
1560957843824911,E20000195108006813202666,1,-73,866.3,SpeedwayR-12-CB-07.local
1560957843842405,E20000195108006813202666,2,-71,866.3,SpeedwayR-12-CB-07.local
1560957843845769,E200001951080047132014DB,2,-64.5,866.3,SpeedwayR-12-CB-07.local
1560957843847700,E2000019510802051320B90E,2,-69.5,866.3,SpeedwayR-12-CB-07.local
1560957843884603,E200001951080047132014DB,4,-64,866.3,SpeedwayR-12-CB-07.local
1560957843889358,E20000195108007213202668,4,-68,866.3,SpeedwayR-12-CB-07.local
1560957843921742,E2000019510802091320B910,1,-67,866.3,SpeedwayR-12-CB-07.local
1560957843924697,E200001951080047132014DB,1,-61,866.3,SpeedwayR-12-CB-07.local
1560957843956036,E200001951080047132014DB,2,-62,866.3,SpeedwayR-12-CB-07.local
1560957843979086,E20000195108006813202666,2,-74,866.3,SpeedwayR-12-CB-07.local
1560957844011673,E200001951080047132014DB,4,-64.5,866.3,SpeedwayR-12-CB-07.local
1560957844045173,E200001951080047132014DB,1,-61.5,866.3,SpeedwayR-12-CB-07.local
1560957844079633,E200001951080047132014DB,2,-64,866.3,SpeedwayR-12-CB-07.local
1560957844112275,E2000019510802091320B910,3,-69,866.3,SpeedwayR-12-CB-07.local
1560957844144151,E2000019510802091320B910,4,-68,866.3,SpeedwayR-12-CB-07.local
1560957844172532,E200001951080047132014DB,1,-61.5,866.3,SpeedwayR-12-CB-07.local
1560957844221468,E20000195108006813202666,2,-73.5,866.3,SpeedwayR-12-CB-07.local
1560957844248040,E2000019510802091320B910,3,-65.5,866.3,SpeedwayR-12-CB-07.local
1560957844281698,E200001951080047132014DB,4,-66,866.3,SpeedwayR-12-CB-07.local
1560957844284547,E2000019510802091320B910,4,-66.5,866.3,SpeedwayR-12-CB-07.local
1560957844317214,E20000195108006813202666,1,-67.5,866.3,SpeedwayR-12-CB-07.local
1560957844318648,E200001951080047132014DB,1,-62.5,866.3,SpeedwayR-12-CB-07.local
1560957844350936,E200001951080047132014DB,2,-66.5,866.3,SpeedwayR-12-CB-07.local
1560957844383963,E2000019510802091320B910,3,-69,866.3,SpeedwayR-12-CB-07.local
1560957844416092,E2000019510802091320B910,4,-67.5,866.3,SpeedwayR-12-CB-07.local
1560957844449785,E20000195108006813202666,1,-66,866.3,SpeedwayR-12-CB-07.local
1560957844454842,E2000019510802091320B910,1,-67,866.3,SpeedwayR-12-CB-07.local
1560957844456458,E200001951080047132014DB,1,-62,866.3,SpeedwayR-12-CB-07.local
1560957844485404,E200001951080047132014DB,2,-65.5,866.3,SpeedwayR-12-CB-07.local
1560957844551650,E2000019510802011320B0CC,4,-67.5,866.3,SpeedwayR-12-CB-07.local
1560957844555248,E2000019510802091320B910,4,-67,866.3,SpeedwayR-12-CB-07.local
1560957844556884,E200001951080047132014DB,4,-64.5,866.3,SpeedwayR-12-CB-07.local
1560957844588106,E20000195108006813202666,1,-66.5,866.3,SpeedwayR-12-CB-07.local
1560957844591845,E200001951080047132014DB,1,-64,866.3,SpeedwayR-12-CB-07.local
1560957844621167,E2000019510802091320B910,2,-68.5,866.3,SpeedwayR-12-CB-07.local
1560957844663493,E2000019510802011320B0CC,3,-69.5,866.3,SpeedwayR-12-CB-07.local
1560957844697375,E2000019510802091320B910,4,-67.5,866.3,SpeedwayR-12-CB-07.local
1560957844698440,E200001951080047132014DB,4,-64.5,866.3,SpeedwayR-12-CB-07.local
1560957844699965,E2000019510802011320B0CC,4,-65,866.3,SpeedwayR-12-CB-07.local
1560957844727254,E2000019510802091320B910,1,-69.5,866.3,SpeedwayR-12-CB-07.local
1560957844728983,E20000195108006813202666,1,-67.5,866.3,SpeedwayR-12-CB-07.local
1560957844827414,E200001951080047132014DB,4,-68,866.3,SpeedwayR-12-CB-07.local
1560957844829081,E2000019510802091320B910,4,-67.5,866.3,SpeedwayR-12-CB-07.local
1560957844830933,E2000019510802011320B0CC,4,-65.5,866.3,SpeedwayR-12-CB-07.local
1560957844854643,E20000195108006813202666,1,-67.5,866.3,SpeedwayR-12-CB-07.local
1560957844888737,E2000019510802051320B90E,2,-72.5,866.3,SpeedwayR-12-CB-07.local
1560957844926531,E200001951080047132014DB,4,-65,866.3,SpeedwayR-12-CB-07.local
1560957844928412,E2000019510802011320B0CC,4,-63.5,866.3,SpeedwayR-12-CB-07.local
1560957844932184,E2000019510802091320B910,4,-66,866.3,SpeedwayR-12-CB-07.local
1560957844962048,E20000195108006813202666,1,-69.5,866.3,SpeedwayR-12-CB-07.local
1560957844965368,E2000019510802091320B910,1,-68.5,866.3,SpeedwayR-12-CB-07.local
1560957844986760,E2000019510802051320B90E,1,-73.5,866.3,SpeedwayR-12-CB-07.local
1560957845011634,E200001951080047132014DB,2,-65.5,866.3,SpeedwayR-12-CB-07.local
1560957845051125,E200001951080047132014DB,4,-62,866.3,SpeedwayR-12-CB-07.local
1560957845056025,E2000019510802011320B0CC,4,-64.5,866.3,SpeedwayR-12-CB-07.local
1560957845081640,E20000195108006813202666,1,-69,866.3,SpeedwayR-12-CB-07.local
1560957845082733,E200001951080047132014DB,1,-64.5,866.3,SpeedwayR-12-CB-07.local
1560957845085569,E2000019510802051320B90E,1,-71,866.3,SpeedwayR-12-CB-07.local
1560957845117116,E200001951080047132014DB,2,-67,866.3,SpeedwayR-12-CB-07.local
1560957845156629,E200001951080047132014DB,4,-66,866.3,SpeedwayR-12-CB-07.local
1560957845160582,E2000019510802011320B0CC,4,-64,866.3,SpeedwayR-12-CB-07.local
1560957845193435,E200001951080047132014DB,1,-65.5,866.3,SpeedwayR-12-CB-07.local
1560957845196171,E20000195108006813202666,1,-70,866.3,SpeedwayR-12-CB-07.local
1560957845270121,E2000019510802011320B0CC,4,-64.5,866.3,SpeedwayR-12-CB-07.local
1560957845272848,E2000019510802091320B910,4,-66.5,866.3,SpeedwayR-12-CB-07.local
1560957845304790,E200001951080047132014DB,1,-63.5,866.3,SpeedwayR-12-CB-07.local
1560957845320981,E20000195108006813202666,1,-73.5,866.3,SpeedwayR-12-CB-07.local
1560957845351720,E2000019510802051320B90E,2,-69,866.3,SpeedwayR-12-CB-07.local
1560957845389998,E2000019510802011320B0CC,4,-66,866.3,SpeedwayR-12-CB-07.local
1560957845396539,E2000019510802091320B910,4,-64.5,866.3,SpeedwayR-12-CB-07.local
1560957845416692,E200001951080047132014DB,4,-69.5,866.3,SpeedwayR-12-CB-07.local
1560957845451126,E20000195108006813202666,1,-70.5,866.9,SpeedwayR-12-CB-07.local
1560957845453242,E200001951080047132014DB,1,-67,866.9,SpeedwayR-12-CB-07.local
1560957845477366,E200001951080047132014DB,2,-66,866.9,SpeedwayR-12-CB-07.local
1560957845480730,E20000195108006813202666,2,-71.5,866.9,SpeedwayR-12-CB-07.local
1560957845485929,E2000019510802051320B90E,2,-67,866.9,SpeedwayR-12-CB-07.local
1560957845516471,E2000019510802091320B910,3,-66,866.9,SpeedwayR-12-CB-07.local
